Interaction_ID,Bait_UniProt,Bait_Gene,Prey_UniProt,Prey_Gene,ipSAE,Confidence,iPTM,Interface_pLDDT,PAE_Contacts_<3A,PAE_Contacts_<6A,Analysis_Version,AlphaFold_Version,Has_Experimental_Validation,Validation_Details
996,A8MTZ0,BBIP1,Q96RK4,BBS4,0.71672386,High,0.62,88.89924,57,100,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 1, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""31303482"", ""notes"": ""U-bolt clamping; BBS18 threads through BBS4 TPR; 4.9 Å + XL-MS"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
388,Q96RK4,BBS4,A8MTZ0,BBIP1,0.7131941,High,0.62,87.724525,77,124,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 1, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""31303482"", ""notes"": ""U-bolt clamping; BBS18 threads through BBS4 TPR; 4.9 Å + XL-MS"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
263,Q9Y547,IFT25,Q96GY0,ZC2HC1A,0.71297,High,0.88,90.74197,34,38,v4,AF3,No,
363,Q8NFJ9,BBS1,Q9H0F7,ARL6,0.7092236,High,0.81,86.63245,33,40,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Crystal structure"", ""validation_count"": 3, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""25402481"", ""notes"": ""ARL6-GTP binds BBS1 β-propeller at blades 1 and 7; Kd=0.35 μM; GTP-dependent; C. reinhardtii structures; PDB: 4V0M"", ""study"": ""Mourão et al., 2014"", ""method"": ""Crystal structure"", ""confidence"": ""high""}, {""pmid"": ""31939736"", ""notes"": ""3.5 Å active state; ARL6-GTP binds blades 1 and 7 of BBS1 β-propeller; Requires swiveling of BBS1 β-propeller domain (PDB: 6VBV)"", ""study"": ""Singh et al., eLife 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""32510327"", ""notes"": ""Primary binding site: ARL6-GTP binds BBS1 β-propeller (blades 1 and 7) via Switch 2 loop and helices α3 (residues 75-78) and α4 (residues 98-108). Resolution ~3.5 Å. PDB: 6VOA"", ""study"": ""Yang et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
35,Q13099,IFT88,Q8N4P2,IFT70B,0.70862484,High,0.63,83.37616,57,68,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 1, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""IFT88""}]}"
952,Q9UG01,IFT172,Q9NWB7,IFT57,0.7043668,High,0.45,84.27415,60,109,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Pulldown"", ""validation_count"": 2, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": """", ""notes"": ""IFT57/38 directly interacts with IFT172"", ""study"": ""IFT-B2 complex studies"", ""method"": ""Pulldown"", ""confidence"": ""high""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""IFT57""}]}"
233,Q9P2H3,IFT80,Q96AJ1,CLUAP1,0.7038984,High,0.72,88.50399,38,44,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 3, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""IFT80""}, {""pmid"": ""26912722"", ""notes"": ""IFT80 interacts with CLUAP1/IFT38"", ""study"": ""Taschner et al., 2016"", ""method"": ""Biochemical reconstitution"", ""confidence"": ""high""}, {""pmid"": ""29537372"", ""notes"": ""IFT80 interacts with CLUAP1/IFT38"", ""study"": ""Taschner et al., eLife 2018"", ""method"": ""Biochemical reconstitution"", ""confidence"": ""high""}]}"
225,Q9NWB7,IFT57,Q9UG01,IFT172,0.70357007,High,0.45,84.34615,51,104,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Pulldown"", ""validation_count"": 2, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": """", ""notes"": ""IFT57/38 directly interacts with IFT172"", ""study"": ""IFT-B2 complex studies"", ""method"": ""Pulldown"", ""confidence"": ""high""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""IFT57""}]}"
108,Q96AJ1,CLUAP1,Q9P2H3,IFT80,0.7023716,High,0.72,88.21958,40,45,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 3, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""IFT80""}, {""pmid"": ""26912722"", ""notes"": ""IFT80 interacts with CLUAP1/IFT38"", ""study"": ""Taschner et al., 2016"", ""method"": ""Biochemical reconstitution"", ""confidence"": ""high""}, {""pmid"": ""29537372"", ""notes"": ""IFT80 interacts with CLUAP1/IFT38"", ""study"": ""Taschner et al., eLife 2018"", ""method"": ""Biochemical reconstitution"", ""confidence"": ""high""}]}"
264,Q9Y547,IFT25,A8MTZ0,BBIP1,0.7009643,High,0.83,91.060234,37,39,v4,AF3,No,
234,Q9P2H3,IFT80,O15350,TP73,0.698964,Medium,0.74,87.959915,43,54,v4,AF3,No,
98,Q8TDR0,TRAF3IP1,Q717R9,CYS1,0.6988243,Medium,0.27,89.921104,22,23,v4,AF3,No,
170,Q9BW83,IFT27,Q9UJT0,TUBE1,0.6967669,Medium,0.8,86.40847,45,56,v4,AF3,No,
378,Q8TAM2,BBS8,Q3SYG4,BBS9,0.6958741,Medium,0.65,81.8368,30,84,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 2, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""31303482"", ""notes"": ""BBS9 β-propeller binds BBS8 N-terminal TPR; 4.9 Å + XL-MS + Y2H"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""31951201"", ""notes"": ""Human BBSome core; BBS8 and BBS9 direct contacts; ~3.8 Å"", ""study"": ""Klink et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
985,Q3SYG4,BBS9,Q8TAM2,BBS8,0.6912346,Medium,0.65,81.46595,31,84,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 2, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""31303482"", ""notes"": ""BBS9 β-propeller binds BBS8 N-terminal TPR; 4.9 Å + XL-MS + Y2H"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""31951201"", ""notes"": ""Human BBSome core; BBS8 and BBS9 direct contacts; ~3.8 Å"", ""study"": ""Klink et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
880,O75386,TULP3,O95467,GNAS,0.6898698,Medium,0.57,84.38831,36,79,v4,AF3,No,
201,Q9HBG6,IFT122,Q8NEZ3,WDR19,0.6876721,Medium,0.55,82.03609,47,57,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 6, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""36462505"", ""notes"": ""IFT122 C-terminus in IFT-A1 module; bridges modules"", ""study"": ""Hesketh et al., 2022"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""doi"": ""10.1016/j.cell.2022.11.033"", ""pmid"": ""36563665"", ""notes"": ""Bridges A1/A2 modules; Leishmania IFT-A"", ""study"": ""Meleppattu et al., 2022"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""doi"": ""10.1038/s41422-023-00778-3"", ""pmid"": ""36775821"", ""notes"": ""IFT122 C-terminal TPR inserts between IFT144 WD40-B and TPR1-3"", ""study"": ""Jiang et al., 2023"", ""method"": ""Cryo-EM""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""WDR19""}, {""pmid"": ""22275356"", ""notes"": ""12S core subcomplex; stable in ift121 mutant"", ""study"": ""Behal et al., 2012"", ""method"": ""Biochemical reconstitution"", ""confidence"": ""high""}, {""pmid"": ""36346217"", ""notes"": ""DSSO crosslinking; Tetrahymena IFT-A"", ""study"": ""McCafferty et al., 2022"", ""method"": ""XL-MS"", ""confidence"": ""high""}]}"
410,Q9H0F7,ARL6,Q8NFJ9,BBS1,0.68612725,Medium,0.81,87.492226,32,39,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Crystal structure"", ""validation_count"": 3, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""25402481"", ""notes"": ""ARL6-GTP binds BBS1 β-propeller at blades 1 and 7; Kd=0.35 μM; GTP-dependent; C. reinhardtii structures; PDB: 4V0M"", ""study"": ""Mourão et al., 2014"", ""method"": ""Crystal structure"", ""confidence"": ""high""}, {""pmid"": ""31939736"", ""notes"": ""3.5 Å active state; ARL6-GTP binds blades 1 and 7 of BBS1 β-propeller; Requires swiveling of BBS1 β-propeller domain (PDB: 6VBV)"", ""study"": ""Singh et al., eLife 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""32510327"", ""notes"": ""Primary binding site: ARL6-GTP binds BBS1 β-propeller (blades 1 and 7) via Switch 2 loop and helices α3 (residues 75-78) and α4 (residues 98-108). Resolution ~3.5 Å. PDB: 6VOA"", ""study"": ""Yang et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
94,Q8NEZ3,WDR19,Q9HBG6,IFT122,0.6836468,Medium,0.55,81.701744,30,56,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 6, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""36462505"", ""notes"": ""IFT122 C-terminus in IFT-A1 module; bridges modules"", ""study"": ""Hesketh et al., 2022"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""doi"": ""10.1016/j.cell.2022.11.033"", ""pmid"": ""36563665"", ""notes"": ""Bridges A1/A2 modules; Leishmania IFT-A"", ""study"": ""Meleppattu et al., 2022"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""doi"": ""10.1038/s41422-023-00778-3"", ""pmid"": ""36775821"", ""notes"": ""IFT122 C-terminal TPR inserts between IFT144 WD40-B and TPR1-3"", ""study"": ""Jiang et al., 2023"", ""method"": ""Cryo-EM""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""WDR19""}, {""pmid"": ""22275356"", ""notes"": ""12S core subcomplex; stable in ift121 mutant"", ""study"": ""Behal et al., 2012"", ""method"": ""Biochemical reconstitution"", ""confidence"": ""high""}, {""pmid"": ""36346217"", ""notes"": ""DSSO crosslinking; Tetrahymena IFT-A"", ""study"": ""McCafferty et al., 2022"", ""method"": ""XL-MS"", ""confidence"": ""high""}]}"
881,O75386,TULP3,Q3ZCQ8,TIMM50,0.6834417,Medium,0.57,84.15719,25,27,v4,AF3,No,
254,Q9Y366,IFT52,Q8N4P2,IFT70B,0.67843467,Medium,0.77,86.51112,153,219,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 6, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": """", ""pmid"": ""21911474"", ""notes"": ""Y2H evidence of direct protein-protein interaction."", ""study"": ""Zhao and Malicki, 2011"", ""method"": ""Y2H"", ""confidence"": ""high"", ""bait_protein"": ""IFT70B""}, {""doi"": """", ""pmid"": ""23900041"", ""notes"": ""Y2H evidence of direct protein-protein interaction."", ""study"": ""Howard et al., 2013"", ""method"": ""Y2H"", ""confidence"": ""high"", ""bait_protein"": ""IFT70B""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""TTC30A""}, {""pmid"": ""25349261"", ""notes"": """", ""study"": ""Taschner et al., 2014"", ""method"": ""Crystal structure"", ""confidence"": ""high""}, {""pmid"": ""21642430"", ""notes"": ""N-terminal IFT70 (1-226) binds central IFT52 (281-381)"", ""study"": ""Taschner et al., 2011"", ""method"": ""Biochemical reconstitution"", ""confidence"": ""high""}, {""pmid"": ""36354106"", ""notes"": ""IFT70/52(330-430)/46(165-319) crystal structure"", ""study"": ""Petriman et al., 2022"", ""method"": ""Crystal structure"", ""confidence"": ""high""}]}"
78,Q8N4P2,IFT70B,Q9Y366,IFT52,0.67754316,Medium,0.77,85.948616,197,230,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 6, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": """", ""pmid"": ""21911474"", ""notes"": ""Y2H evidence of direct protein-protein interaction."", ""study"": ""Zhao and Malicki, 2011"", ""method"": ""Y2H"", ""confidence"": ""high"", ""bait_protein"": ""IFT70B""}, {""doi"": """", ""pmid"": ""23900041"", ""notes"": ""Y2H evidence of direct protein-protein interaction."", ""study"": ""Howard et al., 2013"", ""method"": ""Y2H"", ""confidence"": ""high"", ""bait_protein"": ""IFT70B""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""TTC30A""}, {""pmid"": ""25349261"", ""notes"": """", ""study"": ""Taschner et al., 2014"", ""method"": ""Crystal structure"", ""confidence"": ""high""}, {""pmid"": ""21642430"", ""notes"": ""N-terminal IFT70 (1-226) binds central IFT52 (281-381)"", ""study"": ""Taschner et al., 2011"", ""method"": ""Biochemical reconstitution"", ""confidence"": ""high""}, {""pmid"": ""36354106"", ""notes"": ""IFT70/52(330-430)/46(165-319) crystal structure"", ""study"": ""Petriman et al., 2022"", ""method"": ""Crystal structure"", ""confidence"": ""high""}]}"
265,Q9Y547,IFT25,Q9BW83,IFT27,0.67742985,Medium,0.85,92.3004,50,61,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 2, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""HSPB11""}, {""doi"": """", ""pmid"": """", ""notes"": ""Crystal structure of Chlamydomonas IFT27/25 complex. Direct structural evidence of interaction."", ""study"": ""Bhogaraju et al., 2011"", ""method"": ""Crystal structure"", ""confidence"": ""high"", ""bait_protein"": ""IFT27""}]}"
297,Q8IWZ6,BBS7,Q8NEZ3,WDR19,0.67528325,Medium,0.79,83.28291,31,92,v4,AF3,No,
95,Q8NEZ3,WDR19,Q8IWZ6,BBS7,0.67365915,Medium,0.78,83.667885,15,89,v4,AF3,No,
171,Q9BW83,IFT27,O00743,PPP6C,0.6698515,Medium,0.78,87.0225,24,44,v4,AF3,No,
36,Q13099,IFT88,Q86WT1,IFT70A,0.66718847,Medium,0.59,81.599724,33,65,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""XL-MS"", ""validation_count"": 3, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""36354106"", ""notes"": """", ""study"": ""Petriman et al., 2022"", ""method"": ""XL-MS"", ""confidence"": ""high""}, {""pmid"": ""36354106"", ""notes"": ""IFT88(1-437)/70/52(281-360) crystal structure"", ""study"": ""Petriman et al., 2022"", ""method"": ""Crystal structure"", ""confidence"": ""high""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""IFT88""}]}"
997,A8MTZ0,BBIP1,Q9Y547,IFT25,0.66681945,Medium,0.82,92.17567,39,39,v4,AF3,No,
882,O75386,TULP3,Q9BZE0,GLIS2,0.6664429,Medium,0.56,84.060196,45,54,v4,AF3,No,
51,Q86WT1,IFT70A,Q13099,IFT88,0.6646243,Medium,0.59,82.302864,35,58,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""XL-MS"", ""validation_count"": 3, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""36354106"", ""notes"": """", ""study"": ""Petriman et al., 2022"", ""method"": ""XL-MS"", ""confidence"": ""high""}, {""pmid"": ""36354106"", ""notes"": ""IFT88(1-437)/70/52(281-360) crystal structure"", ""study"": ""Petriman et al., 2022"", ""method"": ""Crystal structure"", ""confidence"": ""high""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""IFT88""}]}"
