source	target	interaction_category	ipsae	iptm	contacts_lt_3	contacts_lt_6	interface_plddt	confidence_level
BBS5	MCIDAS	Ciliary structural	0.66007113	0.68	undefined	undefined	undefined	Medium
IFT122	IFT121	Validation: Intra-complex	0.6582769	0.71	undefined	undefined	undefined	Medium
IFT27	IFT25	Validation: Intra-complex	0.654327	0.84	undefined	undefined	undefined	Medium
IFT25	CFAP144	Ciliary structural	0.652987	0.79	undefined	undefined	undefined	Medium
BBS1	BBS9	Validation: Intra-complex	0.6523343	0.52	undefined	undefined	undefined	Medium
BBS9	BBS1	Validation: Intra-complex	0.64633	0.52	undefined	undefined	undefined	Medium
IFT121	IFT122	Validation: Intra-complex	0.6455526	0.71	undefined	undefined	undefined	Medium
TULP3	GMNC	Ciliary structural	0.64029306	0.54	undefined	undefined	undefined	Medium
BBS5	GNAS	Membrane trafficking	0.6363958	0.66	undefined	undefined	undefined	Medium
RABL2B	POC1A	Ciliary structural	0.6362975	0.67	undefined	undefined	undefined	Medium
TULP3	STK11	Ciliary structural	0.63555217	0.63	undefined	undefined	undefined	Medium
BBS17	BBS17	Validation: Intra-complex	0.6290676	0.43	undefined	undefined	undefined	Medium
IFT57	CFAP20	Ciliary structural	0.62772363	0.83	undefined	undefined	undefined	Medium
BBS9	BBS5	Validation: Intra-complex	0.6214371	0.72	undefined	undefined	undefined	Medium
IFT20	SUFU	Ciliary structural	0.6213019	0.52	undefined	undefined	undefined	Medium
IFT144	IFT140	Validation: Intra-complex	0.61810565	0.54	undefined	undefined	undefined	Medium
TULP3	DCDC2	Ciliary structural	0.6175081	0.55	undefined	undefined	undefined	Medium
IFT140	IFT144	Validation: Intra-complex	0.6170063	0.54	undefined	undefined	undefined	Medium
IFT80	IFT172	Ciliary structural	0.6135375	0.77	undefined	undefined	undefined	Medium
BBS5	SRSF7	Signaling	0.61226493	0.64	undefined	undefined	undefined	Medium
IFT172	IFT80	Other	0.60844237	0.77	undefined	undefined	undefined	Medium
IFT43	IFT121	Validation: Intra-complex	0.5973592	0.42	undefined	undefined	undefined	Medium
ARL6	PDE6D	Ciliary structural	0.59723043	0.82	undefined	undefined	undefined	Medium
IFT121	IFT43	Validation: Intra-complex	0.5954744	0.41	undefined	undefined	undefined	Medium
TULP3	SPATA7	Ciliary structural	0.59497327	0.6	undefined	undefined	undefined	Medium
BBS5	BBS9	Validation: Intra-complex	0.59391326	0.72	undefined	undefined	undefined	Medium
ARL6	NDUFA5	Metabolism	0.5905581	0.72	undefined	undefined	undefined	Medium
IFT25	SNX10	Ciliary structural	0.587469	0.83	undefined	undefined	undefined	Medium
BBS5	ENTR1	Ciliary structural	0.5870666	0.66	undefined	undefined	undefined	Medium
IFT22	INTS6	Transcription/Chromatin	0.58277494	0.77	undefined	undefined	undefined	Medium
TULP3	EFCAB2	Cytoskeleton	0.58199704	0.52	undefined	undefined	undefined	Medium
IFT22	DTYMK	Signaling	0.57994014	0.76	undefined	undefined	undefined	Medium
ARL6	GDI2	Ciliary structural	0.5798622	0.75	undefined	undefined	undefined	Medium
BBS1	FAIM	Signaling	0.5792177	0.7	undefined	undefined	undefined	Medium
ARL6	SUCLG1	Metabolism	0.5785494	0.78	undefined	undefined	undefined	Medium
BBS5	CMPK1	Signaling	0.5784052	0.76	undefined	undefined	undefined	Medium
BBS7	ACSL3	Signaling	0.5777957	0.71	undefined	undefined	undefined	Medium
IFT38	HIBADH	Metabolism	0.5735986	0.73	undefined	undefined	undefined	Medium
TULP3	RPS9	RNA processing	0.57019615	0.68	undefined	undefined	undefined	Medium
ARL6	DYNC2LI1	Ciliary structural	0.56956	0.79	undefined	undefined	undefined	Medium
IFT43	LTA4H	Metabolism	0.56758153	0.71	undefined	undefined	undefined	Medium
IFT56	DNAJC8	Other	0.5647609	0.58	undefined	undefined	undefined	Medium
BBS1	PDCD10	Signaling	0.56247354	0.83	undefined	undefined	undefined	Medium
TULP3	SEMG1	Other	0.55910605	0.53	undefined	undefined	undefined	Medium
TTC21B	IFT122	Other	0.5571812	0.47	undefined	undefined	undefined	Medium
IFT122	TTC21B	Ciliary structural	0.55645055	0.46	undefined	undefined	undefined	Medium
BBS5	SEMG1	Other	0.55625033	0.65	undefined	undefined	undefined	Medium
IFT80	CYLC2	Cytoskeleton	0.55590785	0.63	undefined	undefined	undefined	Medium
IFT27	TBC1D7	Ciliary structural	0.5539813	0.79	undefined	undefined	undefined	Medium
IFT70B	UBA52	Metabolism	0.5533598	0.69	undefined	undefined	undefined	Medium
IFT46	GALNT11	Ciliary structural	0.5524447	0.63	undefined	undefined	undefined	Medium
IFT122	TTC21A	Ciliary structural	0.5519426	0.46	undefined	undefined	undefined	Medium
IFT27	SH3GLB1	Signaling	0.5508466	0.79	undefined	undefined	undefined	Medium
IFT56	UBXN10	Ciliary structural	0.5499628	0.64	undefined	undefined	undefined	Medium
IFT70A	UBA52	Metabolism	0.5499107	0.69	undefined	undefined	undefined	Medium
BBS9	MED7	Transcription/Chromatin	0.54697245	0.41	undefined	undefined	undefined	Medium
BBS5	TTBK2	Ciliary structural	0.54332566	0.71	undefined	undefined	undefined	Medium
TULP3	CFAP36	Ciliary structural	0.542769	0.51	undefined	undefined	undefined	Medium
IFT43	WDR5	Transcription/Chromatin	0.5420294	0.68	undefined	undefined	undefined	Medium
BBS5	MLF2	Transcription/Chromatin	0.5403463	0.62	undefined	undefined	undefined	Medium
IFT140	IFT122	Validation: Intra-complex	0.5381653	0.44	undefined	undefined	undefined	Medium
IFT27	CLU	Transcription/Chromatin	0.53662884	0.79	undefined	undefined	undefined	Medium
IFT121	DBR1	RNA processing	0.5346844	0.67	undefined	undefined	undefined	Medium
IFT25	CLBA1	Membrane trafficking	0.53406805	0.81	undefined	undefined	undefined	Medium
IFT56	NPM1	Transcription/Chromatin	0.5330536	0.58	undefined	undefined	undefined	Medium
BBS5	MAK	Ciliary structural	0.5322961	0.66	undefined	undefined	undefined	Medium
RABL2B	IFT122	Validation: IFT-A/B coupling	0.53002244	0.71	undefined	undefined	undefined	Medium
TULP3	NSFL1C	Metabolism	0.5297755	0.53	undefined	undefined	undefined	Medium
TULP3	RFX7	Transcription/Chromatin	0.5293746	0.58	undefined	undefined	undefined	Medium
IFT70B	PDIA4	Signaling	0.52800703	0.67	undefined	undefined	undefined	Medium
BBS5	CILK1	Ciliary structural	0.526945	0.66	undefined	undefined	undefined	Medium
BBS5	HNRNPM	Signaling	0.52688205	0.67	undefined	undefined	undefined	Medium
IFT25	CMPK1	Signaling	0.52650636	0.75	undefined	undefined	undefined	Medium
IFT43	VHL	Ciliary structural	0.526164	0.61	undefined	undefined	undefined	Medium
BBS2	BBS9	Validation: Intra-complex	0.5261032	0.53	undefined	undefined	undefined	Medium
RABL2B	CYS1	Ciliary structural	0.52547	0.66	undefined	undefined	undefined	Medium
IFT122	IFT140	Validation: Intra-complex	0.52540433	0.44	undefined	undefined	undefined	Medium
TULP3	YAP1	Ciliary structural	0.524695	0.52	undefined	undefined	undefined	Medium
IFT27	KCTD10	Signaling	0.5245273	0.74	undefined	undefined	undefined	Medium
TULP3	CEP44	Ciliary structural	0.524515	0.53	undefined	undefined	undefined	Medium
BBS7	HAP1	Ciliary structural	0.52408963	0.69	undefined	undefined	undefined	Medium
IFT43	CFAP206	Ciliary structural	0.523655	0.58	undefined	undefined	undefined	Medium
IFT25	TOM1	Signaling	0.5235034	0.84	undefined	undefined	undefined	Medium
IFT22	PHB2	Transcription/Chromatin	0.5231901	0.74	undefined	undefined	undefined	Medium
BBS9	BBS2	Validation: Intra-complex	0.5230795	0.53	undefined	undefined	undefined	Medium
IFT56	DTYMK	Signaling	0.5228147	0.81	undefined	undefined	undefined	Medium
BBS17	CBY1	Ciliary structural	0.5200317	0.49	undefined	undefined	undefined	Medium
TULP3	GSTM1	Metabolism	0.51861125	0.75	undefined	undefined	undefined	Medium
TULP3	DZIP1	Ciliary structural	0.51754177	0.55	undefined	undefined	undefined	Medium
IFT80	GLI1	Ciliary structural	0.51737833	0.69	undefined	undefined	undefined	Medium
BBS5	RAB28	Ciliary structural	0.51721895	0.63	undefined	undefined	undefined	Medium
TULP3	DRG1	Cytoskeleton	0.51681393	0.71	undefined	undefined	undefined	Medium
TULP3	EGFR	Ciliary structural	0.51652694	0.56	undefined	undefined	undefined	Medium
ARL6	LRRC23	Cytoskeleton	0.5143757	0.68	undefined	undefined	undefined	Medium
TULP3	GALR2	Ciliary structural	0.5134987	0.54	undefined	undefined	undefined	Medium
IFT43	CSNK1D	Ciliary structural	0.5125944	0.57	undefined	undefined	undefined	Medium
IFT43	CYRIB	Ciliary structural	0.51255965	0.67	undefined	undefined	undefined	Medium
TULP3	AMOTL2	Transcription/Chromatin	0.5120091	0.54	undefined	undefined	undefined	Medium
IFT43	ACR	Membrane trafficking	0.51141804	0.55	undefined	undefined	undefined	Medium
ARL6	P2RY14	Signaling	0.5112655	0.74	undefined	undefined	undefined	Medium
BBS18	ELOC	Transcription/Chromatin	0.5112505	0.75	undefined	undefined	undefined	Medium
BBS2	ALPK1	Ciliary structural	0.5104805	0.67	undefined	undefined	undefined	Medium
ARL6	WDR5	Transcription/Chromatin	0.5104427	0.7	undefined	undefined	undefined	Medium
IFT56	SPMIP5	Ciliary structural	0.5084198	0.62	undefined	undefined	undefined	Medium
IFT38	CDC20B	Other	0.5067337	0.53	undefined	undefined	undefined	Medium
BBS7	CYS1	Ciliary structural	0.50266707	0.65	undefined	undefined	undefined	Medium
TULP3	PSMA7	Other	0.5024442	0.75	undefined	undefined	undefined	Medium
IFT43	MMP21	Other	0.50229347	0.59	undefined	undefined	undefined	Medium
TULP3	FAAH	Metabolism	0.50197744	0.7	undefined	undefined	undefined	Medium
IFT20	PRMT1	Transcription/Chromatin	0.5008938	0.62	undefined	undefined	undefined	Medium
BBS18	VHL	Ciliary structural	0.5003644	0.57	undefined	undefined	undefined	Medium
ARL6	TTC23	Ciliary structural	0.4997138	0.57	undefined	undefined	undefined	Low
IFT56	SPMAP2	Other	0.49928838	0.6	undefined	undefined	undefined	Low
RABL2B	PNP	Metabolism	0.4986905	0.72	undefined	undefined	undefined	Low
ARL6	RP2	Ciliary structural	0.49837703	0.72	undefined	undefined	undefined	Low
TULP3	PDE6G	Signaling	0.49660647	0.49	undefined	undefined	undefined	Low
IFT70B	DNAH10	Ciliary structural	0.49647292	0.69	undefined	undefined	undefined	Low
BBS5	GLI2	Ciliary structural	0.4957416	0.7	undefined	undefined	undefined	Low
IFT25	RAB23	Ciliary structural	0.49431428	0.76	undefined	undefined	undefined	Low
BBS8	BBS2	Validation: Intra-complex	0.49272174	0.66	undefined	undefined	undefined	Low
ARL6	MYB	Transcription/Chromatin	0.49263594	0.79	undefined	undefined	undefined	Low
IFT22	CELSR3	Signaling	0.49117956	0.89	undefined	undefined	undefined	Low
RABL2B	PSMD6	Other	0.49054864	0.68	undefined	undefined	undefined	Low
IFT172	CES1	Metabolism	0.48699653	0.76	undefined	undefined	undefined	Low
BBS4	IPO5	Signaling	0.48555642	0.61	undefined	undefined	undefined	Low
BBS4	TUBA4A	Ciliary structural	0.48245022	0.72	undefined	undefined	undefined	Low
BBS7	TOM1	Signaling	0.4819559	0.62	undefined	undefined	undefined	Low
IFT80	ADGB	Other	0.48010027	0.69	undefined	undefined	undefined	Low
IFT56	LRRC59	Signaling	0.47907314	0.58	undefined	undefined	undefined	Low
IFT25	DZANK1	Signaling	0.479029	0.84	undefined	undefined	undefined	Low
BBS5	TP73	Ciliary structural	0.47896805	0.63	undefined	undefined	undefined	Low
TULP3	IFT122	Validation: Intra-complex	0.47822043	0.35	undefined	undefined	undefined	Low
IFT122	RABL2B	Validation: IFT-A/B coupling	0.47673714	0.7	undefined	undefined	undefined	Low
BBS2	AKR1B1	Metabolism	0.47657016	0.76	undefined	undefined	undefined	Low
IFT25	NR1H4	Transcription/Chromatin	0.47577927	0.83	undefined	undefined	undefined	Low
BBS18	CDC20B	Other	0.4752677	0.54	undefined	undefined	undefined	Low
TULP3	STYXL1	Signaling	0.47389454	0.7	undefined	undefined	undefined	Low
TULP3	MCHR1	Ciliary structural	0.4694991	0.56	undefined	undefined	undefined	Low
BBS7	IFT43	Mechanistic: IFT-BBSome coupling	0.46918675	0.6	undefined	undefined	undefined	Low
IFT122	RABL2A	Validation: IFT-A/B coupling	0.46897858	0.69	undefined	undefined	undefined	Low
IFT122	TULP3	Validation: Intra-complex	0.46840107	0.35	undefined	undefined	undefined	Low
IFT54	CDC20	Transcription/Chromatin	0.46731916	0.55	undefined	undefined	undefined	Low
IFT25	ACTA2	Ciliary structural	0.46542653	0.75	undefined	undefined	undefined	Low
IFT122	MPI	Other	0.46416005	0.75	undefined	undefined	undefined	Low
BBS2	SEPTIN12	Signaling	0.4639453	0.58	undefined	undefined	undefined	Low
IFT88	KIFAP3	Ciliary structural	0.4632768	0.55	undefined	undefined	undefined	Low
TTC21B	IFT43	Other	0.4627686	0.39	undefined	undefined	undefined	Low
IFT43	TTC21A	Ciliary structural	0.46250227	0.38	undefined	undefined	undefined	Low
IFT38	IFT57	Other	0.46173054	0.33	undefined	undefined	undefined	Low
TULP3	UBXN10	Ciliary structural	0.46102872	0.49	undefined	undefined	undefined	Low
IFT80	GNAS	Membrane trafficking	0.46093374	0.57	undefined	undefined	undefined	Low
IFT57	ACR	Membrane trafficking	0.46092314	0.55	undefined	undefined	undefined	Low
ARL6	AHI1	Ciliary structural	0.4600259	0.78	undefined	undefined	undefined	Low
ARL6	TXNDC15	Ciliary structural	0.45908275	0.73	undefined	undefined	undefined	Low
IFT56	GOT2	Metabolism	0.4581572	0.57	undefined	undefined	undefined	Low
TULP3	CFAP144	Ciliary structural	0.45781785	0.46	undefined	undefined	undefined	Low
IFT121	CATSPERB	Ciliary structural	0.45742375	0.67	undefined	undefined	undefined	Low
BBS4	C7orf57	Other	0.45670056	0.55	undefined	undefined	undefined	Low
ARL6	CAPS	Signaling	0.45604345	0.74	undefined	undefined	undefined	Low
TULP3	GPR173	Signaling	0.45597094	0.6	undefined	undefined	undefined	Low
TULP3	PSMC2	Other	0.45554736	0.49	undefined	undefined	undefined	Low
IFT43	ACTR2	Ciliary structural	0.45503387	0.63	undefined	undefined	undefined	Low
BBS7	ANXA1	Ciliary structural	0.4539932	0.6	undefined	undefined	undefined	Low
IFT57	IFT38	Ciliary structural	0.45351166	0.33	undefined	undefined	undefined	Low
ARL6	NPM1	Transcription/Chromatin	0.45347422	0.73	undefined	undefined	undefined	Low
IFT43	TTC21B	Ciliary structural	0.45264912	0.4	undefined	undefined	undefined	Low
IFT20	IFT54	Validation: Intra-complex	0.4524699	0.63	undefined	undefined	undefined	Low
IFT38	GSTM2	Metabolism	0.45172855	0.76	undefined	undefined	undefined	Low
IFT38	PSMD3	Other	0.45141402	0.56	undefined	undefined	undefined	Low
IFT43	WDR77	Transcription/Chromatin	0.45104665	0.65	undefined	undefined	undefined	Low
IFT38	CFAP20	Ciliary structural	0.45032433	0.74	undefined	undefined	undefined	Low
IFT88	NUP35	Signaling	0.44999698	0.37	undefined	undefined	undefined	Low
BBS2	UNC119B	Ciliary structural	0.4488457	0.59	undefined	undefined	undefined	Low
IFT70B	TUB	Ciliary structural	0.44865564	0.63	undefined	undefined	undefined	Low
TULP3	B9D1	Ciliary structural	0.44820905	0.65	undefined	undefined	undefined	Low
BBS5	CCDC92	Other	0.4474602	0.58	undefined	undefined	undefined	Low
IFT70A	PPP1CC	Signaling	0.4473519	0.74	undefined	undefined	undefined	Low
IFT22	WDR77	Transcription/Chromatin	0.44720742	0.63	undefined	undefined	undefined	Low
TULP3	CDC20B	Other	0.44661376	0.51	undefined	undefined	undefined	Low
IFT43	RACK1	Signaling	0.44604453	0.65	undefined	undefined	undefined	Low
IFT25	FSCB	Other	0.44604236	0.84	undefined	undefined	undefined	Low
IFT46	RSPH1	Ciliary structural	0.44596335	0.52	undefined	undefined	undefined	Low
IFT46	AURKA	Ciliary structural	0.44517395	0.54	undefined	undefined	undefined	Low
IFT43	NSUN4	Metabolism	0.44453582	0.62	undefined	undefined	undefined	Low
IFT25	GMNC	Ciliary structural	0.4440409	0.79	undefined	undefined	undefined	Low
TULP3	AIFM1	Signaling	0.44381914	0.5	undefined	undefined	undefined	Low
IFT22	RFX4	Ciliary structural	0.44263896	0.79	undefined	undefined	undefined	Low
RABL2B	CFAP97	Other	0.4423532	0.67	undefined	undefined	undefined	Low
BBS18	TF	Signaling	0.4421313	0.58	undefined	undefined	undefined	Low
BBS5	UBXN11	Cytoskeleton	0.4417846	0.6	undefined	undefined	undefined	Low
BBS4	MLF1	Ciliary structural	0.44172603	0.5	undefined	undefined	undefined	Low
IFT43	MAPK3	Ciliary structural	0.44102395	0.66	undefined	undefined	undefined	Low
ARL6	CLRN1	Ciliary structural	0.44016024	0.65	undefined	undefined	undefined	Low
IFT122	RAB34	Other	0.43954402	0.42	undefined	undefined	undefined	Low
RABL2B	DCP2	Transcription/Chromatin	0.4392566	0.67	undefined	undefined	undefined	Low
ARL6	AK1	Signaling	0.43688434	0.66	undefined	undefined	undefined	Low
BBS4	RAB28	Ciliary structural	0.43605924	0.68	undefined	undefined	undefined	Low
IFT43	CDC20	Transcription/Chromatin	0.43529466	0.5	undefined	undefined	undefined	Low
IFT43	BBS7	Mechanistic: IFT-BBSome coupling	0.43480676	0.57	undefined	undefined	undefined	Low
ARL6	PSMA6	Ciliary structural	0.43348762	0.65	undefined	undefined	undefined	Low
TULP3	TULP3	Validation: Intra-complex	0.43296635	0.51	undefined	undefined	undefined	Low
IFT25	HAP1	Ciliary structural	0.4329207	0.81	undefined	undefined	undefined	Low
IFT43	COP1	Membrane trafficking	0.43273684	0.46	undefined	undefined	undefined	Low
IFT43	MOK	Ciliary structural	0.43265173	0.52	undefined	undefined	undefined	Low
TULP3	SEMG2	Other	0.43140483	0.51	undefined	undefined	undefined	Low
IFT43	CTNNB1	Ciliary structural	0.4311003	0.51	undefined	undefined	undefined	Low
TULP3	ARL2	Ciliary structural	0.4303149	0.48	undefined	undefined	undefined	Low
IFT25	RAB11B	Signaling	0.4302718	0.72	undefined	undefined	undefined	Low
IFT70A	TFG	Signaling	0.43008703	0.57	undefined	undefined	undefined	Low
RABL2B	NUP35	Signaling	0.4296482	0.65	undefined	undefined	undefined	Low
IFT22	RPL9	RNA processing	0.42946887	0.67	undefined	undefined	undefined	Low
TULP3	TTBK2	Ciliary structural	0.4288785	0.55	undefined	undefined	undefined	Low
BBS7	E2F4	Ciliary structural	0.42865106	0.63	undefined	undefined	undefined	Low
IFT46	CILK1	Ciliary structural	0.42853156	0.41	undefined	undefined	undefined	Low
IFT56	RAB23	Ciliary structural	0.42794436	0.53	undefined	undefined	undefined	Low
IFT56	PALB2	Other	0.42624694	0.58	undefined	undefined	undefined	Low
IFT88	CDK9	Transcription/Chromatin	0.4260911	0.69	undefined	undefined	undefined	Low
IFT22	SALL1	Transcription/Chromatin	0.42600307	0.82	undefined	undefined	undefined	Low
IFT22	PPIA	Transcription/Chromatin	0.4257262	0.72	undefined	undefined	undefined	Low
IFT56	ACAT1	Metabolism	0.42565584	0.51	undefined	undefined	undefined	Low
BBS5	NEK2	Ciliary structural	0.42534652	0.59	undefined	undefined	undefined	Low
IFT56	CETN3	Ciliary structural	0.4253413	0.51	undefined	undefined	undefined	Low
IFT25	NAMPT	Transcription/Chromatin	0.42510745	0.76	undefined	undefined	undefined	Low
BBS18	FNDC8	Other	0.42503467	0.36	undefined	undefined	undefined	Low
IFT56	NPEPPS	Metabolism	0.42464048	0.66	undefined	undefined	undefined	Low
IFT52	IFT88	Validation: Intra-complex	0.424556	0.53	undefined	undefined	undefined	Low
BBS5	L2HGDH	Metabolism	0.42421007	0.6	undefined	undefined	undefined	Low
ARL6	CSNK2A1	Signaling	0.42354447	0.66	undefined	undefined	undefined	Low
IFT70B	CEP97	Ciliary structural	0.422839	0.49	undefined	undefined	undefined	Low
IFT20	U2SURP	RNA processing	0.42216143	0.61	undefined	undefined	undefined	Low
RABL2B	PGAM5	Metabolism	0.42198226	0.62	undefined	undefined	undefined	Low
BBS7	KRT1	Signaling	0.42191344	0.65	undefined	undefined	undefined	Low
BBS5	FOXJ1	Ciliary structural	0.42182377	0.58	undefined	undefined	undefined	Low
IFT56	CDC42	Signaling	0.42100388	0.59	undefined	undefined	undefined	Low
BBS7	IFT38	Ciliary structural	0.42098248	0.62	undefined	undefined	undefined	Low
BBS9	COPA	Membrane trafficking	0.41989693	0.42	undefined	undefined	undefined	Low
IFT88	IFT52	Validation: Intra-complex	0.4194569	0.53	undefined	undefined	undefined	Low
TULP3	NUMB	Signaling	0.41902864	0.45	undefined	undefined	undefined	Low
TULP3	ALDH2	Metabolism	0.41889378	0.67	undefined	undefined	undefined	Low
IFT20	CFAP299	Other	0.4164617	0.53	undefined	undefined	undefined	Low
TULP3	RAB23	Ciliary structural	0.4164357	0.61	undefined	undefined	undefined	Low
RABL2B	NOTO	Ciliary structural	0.41458648	0.61	undefined	undefined	undefined	Low
TULP3	NPM1	Transcription/Chromatin	0.41324043	0.48	undefined	undefined	undefined	Low
IFT27	DRG1	Cytoskeleton	0.41278097	0.73	undefined	undefined	undefined	Low
ARL6	PSMC2	Other	0.411476	0.68	undefined	undefined	undefined	Low
IFT38	GSTM5	Metabolism	0.41093746	0.71	undefined	undefined	undefined	Low
BBS7	KRT6B	Cytoskeleton	0.41076463	0.63	undefined	undefined	undefined	Low
IFT25	CHCHD6	Metabolism	0.40989566	0.73	undefined	undefined	undefined	Low
IFT52	IFT38	Ciliary structural	0.4096136	0.49	undefined	undefined	undefined	Low
BBS18	PRPS2	Signaling	0.40914613	0.58	undefined	undefined	undefined	Low
IFT88	C7orf57	Other	0.40838784	0.37	undefined	undefined	undefined	Low
BBS1	ODF1	Other	0.40591097	0.5	undefined	undefined	undefined	Low
BBS4	RPL7A	RNA processing	0.40581217	0.6	undefined	undefined	undefined	Low
BBS9	RSPH10B	Ciliary structural	0.40576124	0.45	undefined	undefined	undefined	Low
IFT38	IFT52	Other	0.40562198	0.49	undefined	undefined	undefined	Low
IFT25	CEP78	Ciliary structural	0.40551123	0.79	undefined	undefined	undefined	Low
BBS18	MMP21	Other	0.40541458	0.53	undefined	undefined	undefined	Low
IFT25	TLK2	Transcription/Chromatin	0.40504247	0.8	undefined	undefined	undefined	Low
IFT80	MPI	Other	0.40363574	0.73	undefined	undefined	undefined	Low
IFT22	TMED10	Membrane trafficking	0.40286458	0.68	undefined	undefined	undefined	Low
IFT122	TUB	Ciliary structural	0.40257215	0.34	undefined	undefined	undefined	Low
IFT52	FARSB	RNA processing	0.40129772	0.43	undefined	undefined	undefined	Low
IFT38	HNF1B	Transcription/Chromatin	0.39970323	0.35	undefined	undefined	undefined	Low
IFT43	P4HB	Signaling	0.39961943	0.58	undefined	undefined	undefined	Low
TULP3	RPL6	Transcription/Chromatin	0.39888602	0.48	undefined	undefined	undefined	Low
TULP3	KISS1R	Ciliary structural	0.39807716	0.5	undefined	undefined	undefined	Low
IFT70A	GALR3	Ciliary structural	0.39795324	0.61	undefined	undefined	undefined	Low
IFT38	ANXA3	Transcription/Chromatin	0.39782923	0.65	undefined	undefined	undefined	Low
BBS4	GAS2L1	Cytoskeleton	0.3960135	0.55	undefined	undefined	undefined	Low
BBS5	COMT	Metabolism	0.39564496	0.59	undefined	undefined	undefined	Low
BBS5	TXNDC15	Ciliary structural	0.39513463	0.58	undefined	undefined	undefined	Low
IFT70B	TAGLN2	Cytoskeleton	0.39450788	0.59	undefined	undefined	undefined	Low
BBS8	H4C1	Transcription/Chromatin	0.39438426	0.48	undefined	undefined	undefined	Low
TTC21B	MSN	Signaling	0.39376527	0.56	undefined	undefined	undefined	Low
